2025-04-04 05:32:26,021 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,021 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,022 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,022 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,022 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,023 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,023 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,023 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,024 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,024 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,025 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,025 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,025 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,026 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,026 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2025-04-04 05:32:26,026 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2025-04-04 05:32:30,355 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2025-04-04 05:32:30,355 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2025-04-04 05:32:30,356 INFO  ExportHelperExtension.cs: 849 - L1: 0
2025-04-04 05:32:30,356 INFO  ExportHelperExtension.cs: 857 - L2: 0
2025-04-04 05:32:33,524 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child Link1 failed
2025-04-04 05:32:33,537 INFO  ExportHelperExtension.cs: 347 - Creating joint Link2
2025-04-04 05:32:33,538 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2025-04-04 05:32:33,538 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2025-04-04 05:32:33,539 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2025-04-04 05:32:33,539 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2025-04-04 05:32:33,539 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2025-04-04 05:32:33,540 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2025-04-04 05:32:33,540 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2025-04-04 05:32:33,540 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2025-04-04 05:32:33,541 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2025-04-04 05:32:33,541 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2025-04-04 05:32:33,541 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2025-04-04 05:32:33,542 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2025-04-04 05:32:33,542 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2025-04-04 05:32:33,542 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2025-04-04 05:32:33,543 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2025-04-04 05:32:33,543 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
